timestamp_mills_ms,GX,GY,GZ,AX,AY,AZ,sync,timestamp_listener
1,-44.07,84.53,-14.28,-0.46,-0.03,0.87,n,1715783848551.0
14,-38.39,94.85,-17.58,-0.43,0.01,0.91,n,1715783848854.0
26,-42.54,100.59,-15.69,-0.50,0.02,0.90,n,1715783848854.0
38,-47.67,85.27,-15.44,-0.62,-0.05,0.88,n,1715783848854.0
50,-44.31,52.73,-10.01,-0.68,-0.08,0.79,n,1715783848854.0
62,-34.85,13.00,-6.59,-0.72,-0.13,0.74,n,1715783848854.0
74,-17.46,-28.44,0.24,-0.75,-0.12,0.72,n,1715783848854.0
86,0.24,-58.29,7.57,-0.71,-0.09,0.85,n,1715783848854.0
98,8.48,-62.68,9.64,-0.62,-0.02,1.04,n,1715783848854.0
110,8.24,-48.28,10.31,-0.55,-0.04,1.09,n,1715783848854.0
122,7.51,-29.91,9.46,-0.55,-0.02,1.02,n,1715783848854.0
134,4.39,-17.88,10.38,-0.62,-0.02,0.99,n,1715783848854.0
146,1.65,-19.04,8.85,-0.63,-0.06,0.91,n,1715783848854.0
158,-1.71,-33.33,8.30,-0.62,-0.08,0.86,n,1715783848854.0
170,-2.44,-55.48,8.61,-0.60,-0.08,0.84,n,1715783848854.0
182,-0.98,-71.59,6.96,-0.51,-0.05,0.83,n,1715783848854.0
194,-2.20,-73.43,7.08,-0.42,-0.02,0.82,n,1715783848854.0
206,-4.03,-61.40,7.69,-0.39,-0.03,0.86,n,1715783848854.0
218,-2.08,-34.67,10.01,-0.44,0.03,0.99,n,1715783848854.0
230,-6.65,4.46,11.05,-0.55,0.07,0.90,n,1715783848854.0
242,-20.69,20.51,8.73,-0.53,-0.02,0.85,n,1715783848854.0
254,-24.90,20.02,4.03,-0.46,-0.07,0.83,n,1715783848854.0
266,-18.92,31.13,6.77,-0.47,-0.04,0.82,n,1715783848854.0
278,-18.13,48.10,9.83,-0.46,-0.05,0.87,n,1715783848854.0
290,-19.10,60.67,11.96,-0.41,-0.07,0.93,n,1715783848854.0
302,-18.13,86.12,14.59,-0.39,-0.06,0.96,n,1715783848854.0
316,-23.86,142.46,15.81,-0.38,-0.04,0.95,n,1715783849161.0
328,-31.68,178.83,13.24,-0.44,-0.07,0.93,n,1715783849161.0
340,-34.85,201.23,8.18,-0.58,-0.11,0.89,n,1715783849161.0
352,-34.73,189.45,2.32,-0.71,-0.12,0.81,n,1715783849161.0
364,-34.12,149.54,-2.38,-0.91,-0.13,0.73,n,1715783849161.0
376,-33.08,77.64,-3.78,-1.04,-0.14,0.66,n,1715783849161.0
388,-23.25,-8.36,-4.64,-1.10,-0.17,0.55,n,1715783849161.0
400,-5.55,-85.21,-2.56,-0.99,-0.16,0.63,n,1715783849161.0
412,13.12,-126.16,-2.81,-0.79,-0.11,0.72,n,1715783849161.0
424,21.67,-129.52,0.92,-0.65,-0.06,0.84,n,1715783849161.0
436,20.51,-115.60,2.14,-0.71,-0.03,0.91,n,1715783849161.0
448,17.70,-116.52,2.56,-0.83,-0.05,0.91,n,1715783849161.0
460,21.36,-137.88,3.42,-0.83,-0.11,0.95,n,1715783849161.0
472,27.59,-154.54,2.99,-0.63,-0.11,0.92,n,1715783849162.0
484,24.11,-145.45,4.09,-0.41,-0.06,0.92,n,1715783849162.0
496,18.37,-97.29,7.32,-0.31,-0.04,0.92,n,1715783849162.0
