timestamp_mills_ms,GX,GY,GZ,AX,AY,AZ,sync,timestamp_listener
1.0,1.46,94.73,-7.57,0.14,-0.03,1.04,n,1715785139405.0
14.0,0.12,154.42,-6.71,0.13,0.0,0.99,n,1715785139708.0
26.0,-1.53,217.29,-6.65,0.08,0.03,0.94,n,1715785139708.0
38.0,-8.06,280.58,-9.4,-0.01,0.03,0.97,n,1715785139708.0
50.0,-13.18,350.95,-4.76,-0.03,-0.03,1.04,n,1715785139708.0
62.0,-15.56,435.49,0.55,0.04,-0.05,1.02,n,1715785139708.0
74.0,-15.81,564.03,4.21,-0.11,-0.02,1.01,n,1715785139708.0
86.0,-13.49,686.46,19.96,-0.03,-0.15,0.72,n,1715785139708.0
98.0,-6.29,761.84,23.56,-0.15,-0.15,0.21,n,1715785139708.0
110.0,-1.53,753.11,26.49,-0.89,-0.07,-0.09,n,1715785139708.0
122.0,-6.16,604.0,38.21,-1.77,0.08,-0.15,n,1715785139708.0
134.0,-34.85,356.26,25.76,-2.45,0.19,0.2,n,1715785139708.0
146.0,-78.37,29.17,23.44,-2.49,0.03,0.39,n,1715785139708.0
158.0,-104.31,-295.04,15.38,-2.25,-0.24,0.46,n,1715785139708.0
170.0,-93.02,-540.22,-7.26,-1.56,-0.38,0.25,n,1715785139708.0
182.0,-52.8,-688.35,-51.64,-0.62,-0.32,-0.07,n,1715785139709.0
194.0,-16.78,-725.4,-77.15,0.02,-0.13,-0.03,n,1715785139709.0
206.0,-7.57,-714.66,-93.51,0.38,-0.02,0.07,n,1715785139709.0
218.0,-8.85,-648.62,-102.17,0.72,0.02,0.52,n,1715785139709.0
230.0,-9.28,-513.73,-83.07,1.1,-0.03,1.26,n,1715785139709.0
242.0,-5.43,-263.67,-57.37,1.4,-0.08,1.82,n,1715785139709.0
266.0,47.85,192.57,-28.2,-0.17,-0.13,1.34,n,1715785139709.0
278.0,62.38,233.58,-10.62,-0.62,-0.04,1.05,n,1715785139709.0
290.0,61.34,211.06,1.46,-0.75,-0.01,0.85,n,1715785139709.0
302.0,57.8,146.85,-0.92,-0.92,-0.05,0.73,n,1715785139709.0
317.0,36.62,-21.73,-1.34,-1.16,-0.16,0.84,n,1715785139751.0
329.0,21.67,-133.54,2.56,-1.02,-0.2,0.92,n,1715785139751.0
341.0,15.5,-197.27,3.05,-0.67,-0.15,0.93,n,1715785139751.0
353.0,10.19,-193.85,7.02,-0.35,-0.12,0.96,n,1715785139797.0
