timestamp_mills_ms,GX,GY,GZ,AX,AY,AZ,sync,timestamp_listener
1,2.99,-15.75,2.32,-0.47,-0.25,0.90,n,1715785564879.0
14,2.93,-14.40,2.20,-0.46,-0.25,0.91,n,1715785564957.0
26,1.59,-14.04,2.81,-0.45,-0.26,0.90,n,1715785564957.0
38,1.22,-14.89,2.50,-0.44,-0.24,0.90,n,1715785564957.0
50,0.43,-14.71,2.01,-0.44,-0.25,0.89,n,1715785564957.0
62,0.00,-15.63,0.98,-0.45,-0.25,0.88,n,1715785564957.0
74,-1.16,-17.94,0.67,-0.46,-0.26,0.89,n,1715785564957.0
86,-1.89,-18.43,0.24,-0.46,-0.25,0.90,n,1715785565000.0
98,-2.32,-19.90,-0.18,-0.45,-0.25,0.91,n,1715785565000.0
110,-2.14,-19.04,-0.31,-0.46,-0.26,0.92,n,1715785565000.0
122,-3.11,-19.53,0.18,-0.46,-0.27,0.91,n,1715785565000.0
136,-2.56,-17.70,0.06,-0.45,-0.27,0.91,n,1715785565179.0
148,-2.14,-17.33,-0.06,-0.46,-0.26,0.91,n,1715785565179.0
160,-1.95,-17.58,0.61,-0.47,-0.27,0.91,n,1715785565179.0
172,-1.89,-16.48,0.98,-0.46,-0.27,0.91,n,1715785565179.0
184,-1.59,-16.91,0.98,-0.47,-0.27,0.92,n,1715785565179.0
196,-1.53,-17.15,1.22,-0.47,-0.26,0.91,n,1715785565179.0
208,-0.85,-18.13,1.34,-0.45,-0.27,0.91,n,1715785565179.0
220,-1.28,-18.49,1.28,-0.45,-0.26,0.90,n,1715785565180.0
232,-1.28,-16.48,1.46,-0.46,-0.26,0.91,n,1715785565180.0
244,-1.28,-16.85,1.22,-0.46,-0.26,0.90,n,1715785565180.0
256,-0.79,-17.64,1.34,-0.44,-0.27,0.91,n,1715785565180.0
268,-1.65,-16.72,0.85,-0.44,-0.27,0.90,n,1715785565180.0
280,-1.65,-17.64,0.67,-0.44,-0.27,0.90,n,1715785565180.0
292,-1.83,-17.40,0.06,-0.44,-0.27,0.89,n,1715785565180.0
304,-1.89,-17.82,-0.61,-0.45,-0.27,0.90,n,1715785565486.0
316,-1.89,-18.62,-0.92,-0.44,-0.27,0.90,n,1715785565486.0
328,-2.44,-19.90,-0.85,-0.44,-0.28,0.93,n,1715785565486.0
340,-2.69,-19.65,-1.65,-0.45,-0.28,0.92,n,1715785565486.0
352,-1.71,-21.06,-1.65,-0.45,-0.28,0.92,n,1715785565486.0
364,-1.71,-20.57,-1.34,-0.45,-0.28,0.92,n,1715785565486.0
376,-0.85,-20.87,-1.59,-0.45,-0.29,0.91,n,1715785565486.0
388,-0.24,-19.23,-1.04,-0.46,-0.30,0.93,n,1715785565486.0
400,0.98,-19.41,-1.10,-0.45,-0.29,0.92,n,1715785565486.0
412,1.22,-18.55,-0.43,-0.46,-0.29,0.92,n,1715785565486.0
424,1.83,-18.07,-0.12,-0.44,-0.29,0.91,n,1715785565486.0
436,1.83,-16.72,0.00,-0.44,-0.28,0.91,n,1715785565486.0
448,2.50,-16.30,0.24,-0.45,-0.27,0.92,n,1715785565486.0
460,2.20,-15.32,0.55,-0.45,-0.26,0.91,n,1715785565486.0
472,1.89,-16.66,0.37,-0.45,-0.28,0.90,n,1715785565486.0
484,1.46,-16.36,0.92,-0.44,-0.27,0.90,n,1715785565486.0
496,1.46,-18.43,1.28,-0.44,-0.27,0.89,n,1715785565486.0
508,0.98,-18.07,0.98,-0.45,-0.26,0.91,n,1715785565486.0
520,0.00,-17.40,1.16,-0.43,-0.28,0.91,n,1715785565486.0
532,-0.49,-18.13,0.85,-0.42,-0.29,0.91,n,1715785565486.0
556,-1.53,-16.05,0.55,-0.42,-0.28,0.90,n,1715785565486.0
568,-0.85,-16.36,-0.49,-0.43,-0.28,0.91,n,1715785565486.0
580,-0.98,-15.81,-1.22,-0.42,-0.28,0.91,n,1715785565486.0
592,-1.34,-17.15,-1.28,-0.44,-0.29,0.92,n,1715785565486.0
604,-0.31,-19.23,-1.10,-0.43,-0.29,0.91,n,1715785565486.0
616,-0.37,-19.04,-1.83,-0.40,-0.30,0.92,n,1715785565533.0
628,0.18,-17.94,-2.01,-0.42,-0.29,0.93,n,1715785565533.0
640,0.92,-17.09,-1.95,-0.42,-0.29,0.91,n,1715785565533.0
652,1.95,-15.81,-2.44,-0.44,-0.31,0.92,n,1715785565533.0
664,2.69,-15.56,-2.01,-0.44,-0.29,0.91,n,1715785565579.0
676,2.62,-13.67,-1.59,-0.44,-0.29,0.92,n,1715785565579.0
688,3.30,-14.10,-1.40,-0.44,-0.30,0.93,n,1715785565579.0
700,2.87,-16.17,-1.10,-0.44,-0.30,0.92,n,1715785565579.0
712,2.93,-14.40,-1.10,-0.46,-0.31,0.91,n,1715785565626.0
724,3.23,-16.36,-0.37,-0.45,-0.31,0.91,n,1715785565626.0
736,3.36,-15.75,-0.12,-0.44,-0.30,0.90,n,1715785565626.0
748,3.85,-15.20,0.73,-0.44,-0.29,0.91,n,1715785565673.0
761,4.27,-15.81,0.85,-0.45,-0.30,0.91,n,1715785565673.0
773,4.15,-14.59,1.40,-0.45,-0.30,0.92,n,1715785565673.0
785,4.21,-12.57,2.20,-0.44,-0.30,0.92,n,1715785565673.0
797,3.97,-13.31,1.59,-0.44,-0.30,0.90,n,1715785565719.0
809,4.52,-13.73,1.53,-0.45,-0.30,0.90,n,1715785565719.0
821,4.27,-15.08,1.59,-0.45,-0.28,0.90,n,1715785565719.0
833,4.15,-15.87,1.10,-0.45,-0.28,0.92,n,1715785565719.0
845,3.48,-15.99,0.98,-0.43,-0.29,0.92,n,1715785565776.0
857,3.48,-18.37,1.16,-0.43,-0.29,0.90,n,1715785565776.0
869,3.72,-18.01,0.73,-0.43,-0.29,0.90,n,1715785565776.0
881,3.30,-16.91,-0.18,-0.43,-0.29,0.91,n,1715785565776.0
893,3.48,-15.20,-0.31,-0.43,-0.28,0.90,n,1715785565776.0
905,3.36,-15.99,-0.18,-0.43,-0.28,0.91,n,1715785566101.0
917,3.85,-16.24,0.06,-0.43,-0.29,0.91,n,1715785566101.0
929,3.30,-16.05,-0.43,-0.44,-0.27,0.90,n,1715785566101.0
941,3.36,-16.11,-0.12,-0.44,-0.29,0.93,n,1715785566101.0
953,3.48,-16.85,-0.31,-0.44,-0.28,0.91,n,1715785566101.0
965,3.23,-16.85,0.00,-0.44,-0.28,0.92,n,1715785566101.0
977,3.91,-15.81,0.18,-0.44,-0.28,0.92,n,1715785566101.0
989,4.70,-16.48,0.24,-0.45,-0.28,0.92,n,1715785566101.0
1001,4.94,-15.99,0.37,-0.43,-0.29,0.91,n,1715785566101.0
