timestamp_mills_ms,GX,GY,GZ,AX,AY,AZ,sync,timestamp_listener
1,-38.94,524.35,-32.41,0.69,-0.40,0.60,n,1715782938321.0
14,-62.07,495.48,-40.71,0.17,-0.83,0.61,n,1715782938621.0
26,-46.45,389.10,-32.17,-0.32,-1.59,0.72,n,1715782938622.0
38,9.16,282.78,-4.52,-0.47,-1.11,0.73,n,1715782938622.0
50,24.41,177.98,10.50,-0.51,-0.69,0.56,n,1715782938622.0
62,23.74,94.54,10.62,-0.36,-0.67,0.56,n,1715782938622.0
74,18.01,22.22,0.98,-0.42,-0.66,0.47,n,1715782938622.0
86,0.67,-51.39,-6.35,-0.28,-0.74,0.46,n,1715782938622.0
98,-7.45,-107.30,-14.22,-0.22,-0.86,0.60,n,1715782938622.0
110,-12.39,-156.19,-18.01,-0.20,-0.84,0.69,n,1715782938622.0
122,-16.66,-195.98,-14.22,-0.02,-0.91,0.86,n,1715782938622.0
134,-16.54,-198.91,-14.65,0.25,-0.89,0.93,n,1715782938622.0
146,-19.90,-188.17,-8.06,0.35,-0.83,0.93,n,1715782938622.0
158,-23.80,-174.19,-2.20,0.45,-0.84,0.92,n,1715782938622.0
170,-26.06,-154.91,5.43,0.54,-0.88,0.93,n,1715782938622.0
182,-18.55,-143.98,10.56,0.52,-0.81,0.89,n,1715782938622.0
194,-14.28,-140.87,17.82,0.45,-0.78,0.85,n,1715782938622.0
206,-12.15,-148.01,13.31,0.36,-0.74,0.83,n,1715782938622.0
218,-10.07,-155.40,15.38,0.20,-0.72,0.78,n,1715782938622.0
230,-4.82,-168.58,8.42,0.13,-0.68,0.73,n,1715782938622.0
242,5.43,-181.64,8.12,0.11,-0.60,0.65,n,1715782938622.0
266,1.53,-182.43,13.31,0.18,-0.59,0.47,n,1715782938622.0
278,3.91,-179.26,6.35,0.23,-0.58,0.44,n,1715782938622.0
290,3.78,-175.72,7.51,0.26,-0.60,0.49,n,1715782938622.0
302,-1.10,-159.79,9.64,0.41,-0.65,0.55,n,1715782938721.0
315,-3.60,-142.94,18.37,0.27,-0.67,0.57,n,1715782938721.0
327,-2.99,-134.09,19.29,0.42,-0.64,0.52,n,1715782938721.0
339,-7.08,-114.56,20.94,0.56,-0.66,0.61,n,1715782938721.0
351,-7.63,-82.64,18.37,0.55,-0.64,0.56,n,1715782938721.0
363,-14.04,-49.07,21.00,0.56,-0.66,0.53,n,1715782938721.0
375,-11.41,-10.25,21.91,0.57,-0.67,0.50,n,1715782938721.0
387,-17.33,41.02,19.59,0.43,-0.61,0.44,n,1715782938721.0
399,-21.24,107.30,20.32,0.42,-0.67,0.45,n,1715782938766.0
412,-16.85,260.50,11.05,0.66,-0.62,0.62,n,1715782938767.0
424,-23.01,406.07,-1.83,0.65,-0.58,0.64,n,1715782938767.0
436,-29.24,520.75,5.07,0.64,-0.58,0.85,n,1715782938767.0
448,-29.60,602.60,8.42,0.85,-0.69,0.75,n,1715782938823.0
461,-7.08,673.83,-15.69,1.34,-0.83,0.72,n,1715782938824.0
473,-3.72,656.98,-14.40,0.13,-1.02,0.41,n,1715782938824.0
485,0.49,550.90,-10.93,-0.74,-1.47,0.63,n,1715782938824.0
497,31.37,383.54,-11.66,-0.68,-0.77,0.47,n,1715782938824.0
509,13.85,251.53,7.32,-0.89,-0.91,0.34,n,1715782938927.0
521,19.23,145.02,13.00,-0.66,-0.86,0.32,n,1715782938928.0
533,22.03,61.34,8.00,-0.65,-0.78,0.36,n,1715782938928.0
545,14.89,-24.29,8.18,-0.54,-0.79,0.42,n,1715782938928.0
557,7.20,-91.43,3.91,-0.49,-0.85,0.50,n,1715782938928.0
569,3.36,-136.96,1.77,-0.36,-0.86,0.61,n,1715782938928.0
581,-2.62,-164.31,-0.85,-0.29,-0.85,0.69,n,1715782938928.0
593,-12.33,-198.73,2.87,-0.29,-0.87,0.73,n,1715782938928.0
605,-18.68,-224.30,6.16,-0.27,-0.85,0.73,n,1715782938928.0
617,-22.52,-244.51,12.08,-0.26,-0.88,0.73,n,1715782939236.0
629,-23.62,-254.88,13.55,-0.08,-0.86,0.75,n,1715782939236.0
641,-22.28,-266.42,13.18,0.08,-0.85,0.79,n,1715782939236.0
653,-15.81,-285.64,4.39,0.11,-0.89,0.80,n,1715782939236.0
665,-5.31,-293.70,-4.64,0.35,-0.82,0.81,n,1715782939236.0
677,-0.92,-288.09,-10.25,0.48,-0.78,0.75,n,1715782939236.0
689,1.83,-276.31,-12.27,0.55,-0.75,0.71,n,1715782939236.0
701,7.02,-255.31,-10.80,0.51,-0.72,0.64,n,1715782939236.0
713,11.84,-231.69,-7.81,0.52,-0.65,0.59,n,1715782939236.0
725,17.76,-221.07,-5.37,0.45,-0.64,0.54,n,1715782939236.0
737,21.48,-208.07,-2.50,0.24,-0.57,0.44,n,1715782939236.0
749,17.76,-205.20,2.99,0.44,-0.60,0.48,n,1715782939236.0
761,13.00,-194.76,2.99,0.53,-0.67,0.55,n,1715782939236.0
773,17.94,-165.89,3.05,0.46,-0.70,0.55,n,1715782939236.0
785,16.11,-142.15,7.87,0.46,-0.70,0.53,n,1715782939236.0
797,13.12,-123.17,6.59,0.36,-0.63,0.51,n,1715782939236.0
809,9.70,-112.00,3.78,0.38,-0.68,0.58,n,1715782939236.0
821,11.35,-92.16,5.13,0.40,-0.66,0.58,n,1715782939236.0
833,10.01,-70.43,4.88,0.49,-0.65,0.55,n,1715782939236.0
845,4.27,-42.42,-3.30,0.45,-0.63,0.47,n,1715782939236.0
869,-0.85,8.97,-3.91,0.53,-0.59,0.34,n,1715782939237.0
881,-5.31,46.63,0.73,0.49,-0.59,0.33,n,1715782939237.0
893,-6.04,96.37,13.73,0.46,-0.58,0.41,n,1715782939237.0
905,-7.93,166.14,25.82,0.53,-0.60,0.50,n,1715782939237.0
917,-13.61,271.91,26.31,0.62,-0.64,0.54,n,1715782939334.0
929,-21.85,371.77,22.40,0.55,-0.70,0.58,n,1715782939334.0
941,-29.91,472.72,13.49,0.36,-0.71,0.65,n,1715782939334.0
953,-35.64,524.72,21.36,0.26,-0.76,0.71,n,1715782939334.0
965,-40.04,561.28,24.48,0.12,-1.19,0.88,n,1715782939334.0
977,-0.31,517.40,8.00,-0.26,-1.14,0.83,n,1715782939380.0
989,24.48,435.49,-13.55,0.00,-0.78,0.95,n,1715782939380.0
1001,20.26,342.77,-37.35,-0.12,-0.87,0.93,n,1715782939380.0
1013,18.68,232.48,-27.71,-0.48,-1.06,0.93,n,1715782939380.0
1025,19.53,117.07,-15.63,-0.58,-1.09,0.93,n,1715782939380.0
1037,24.72,35.16,-11.96,-0.53,-0.93,0.84,n,1715782939380.0
1049,22.52,-11.60,-10.56,-0.33,-0.83,0.73,n,1715782939380.0
1061,13.31,-34.79,-13.00,-0.28,-0.84,0.67,n,1715782939543.0
1074,11.96,-55.85,-7.93,-0.21,-0.78,0.62,n,1715782939543.0
1086,4.21,-80.51,-1.71,-0.23,-0.76,0.62,n,1715782939543.0
1098,-0.37,-114.14,5.07,-0.29,-0.78,0.65,n,1715782939543.0
1110,-1.10,-161.74,11.17,-0.37,-0.80,0.65,n,1715782939543.0
1122,0.43,-206.54,14.10,-0.33,-0.82,0.66,n,1715782939543.0
1134,10.25,-242.31,8.91,-0.22,-0.80,0.66,n,1715782939543.0
1146,13.79,-268.37,10.74,-0.10,-0.78,0.67,n,1715782939543.0
1158,13.12,-283.63,8.24,0.04,-0.76,0.68,n,1715782939543.0
1170,15.08,-293.88,6.41,0.12,-0.71,0.61,n,1715782939543.0
1182,15.08,-306.70,-3.30,0.16,-0.69,0.60,n,1715782939543.0
1194,18.13,-313.11,1.40,0.27,-0.64,0.45,n,1715782939543.0
1206,17.94,-299.50,12.82,0.47,-0.65,0.53,n,1715782939543.0
1218,17.40,-262.02,16.11,0.61,-0.67,0.52,n,1715782939543.0
1230,11.60,-222.53,26.31,0.64,-0.71,0.59,n,1715782939645.0
1242,12.15,-189.88,19.29,0.56,-0.73,0.53,n,1715782939645.0
1254,14.53,-155.46,20.81,0.46,-0.71,0.58,n,1715782939645.0
1266,14.59,-136.11,21.30,0.39,-0.69,0.59,n,1715782939646.0
