timestamp_mills_ms,GX,GY,GZ,AX,AY,AZ,sync,timestamp_listener
0,-1.04,-11.60,2.20,0.53,-0.78,0.45,n,1715782493811.0
14,-0.98,-19.17,4.39,0.51,-0.78,0.43,n,1715782493887.0
26,-0.98,-21.42,5.07,0.55,-0.77,0.41,n,1715782493888.0
38,0.43,-15.32,7.63,0.57,-0.75,0.40,n,1715782493888.0
50,-1.22,-7.81,9.40,0.53,-0.73,0.39,n,1715782493888.0
62,-1.28,-5.13,9.28,0.55,-0.72,0.37,n,1715782493888.0
74,-2.44,-0.12,10.01,0.59,-0.73,0.39,n,1715782493888.0
88,-3.48,15.87,8.06,0.62,-0.72,0.38,n,1715782493932.0
100,-7.45,33.20,6.77,0.67,-0.72,0.35,n,1715782493932.0
112,-13.85,71.41,5.74,0.72,-0.70,0.37,n,1715782493932.0
124,-23.74,140.20,4.33,0.75,-0.66,0.38,n,1715782493987.0
137,-37.84,239.50,2.26,0.85,-0.65,0.47,n,1715782493987.0
149,-51.94,365.84,-4.27,0.95,-0.65,0.50,n,1715782493987.0
161,-71.04,514.34,-13.92,0.83,-0.74,0.49,n,1715782493987.0
173,-73.30,639.71,-0.92,0.72,-0.96,0.65,n,1715782493987.0
185,-47.67,705.38,10.74,0.64,-0.91,0.49,n,1715782494103.0
197,-14.59,714.48,-5.80,1.08,-0.48,0.27,n,1715782494103.0
209,-36.19,738.59,-33.45,0.50,-0.39,-0.09,n,1715782494103.0
221,-70.43,651.12,-18.13,-0.74,-1.48,0.08,n,1715782494103.0
233,-5.19,453.06,-27.83,-0.77,-1.00,0.14,n,1715782494103.0
245,-2.20,279.66,-1.46,-1.20,-0.92,0.18,n,1715782494103.0
257,14.10,85.57,-4.70,-1.06,-0.92,0.32,n,1715782494103.0
269,17.70,-49.80,-12.45,-0.44,-0.76,0.50,n,1715782494103.0
281,11.11,-98.57,-14.22,-0.10,-0.79,0.68,n,1715782494103.0
293,0.43,-106.63,-9.89,0.02,-0.82,0.81,n,1715782494103.0
307,-6.10,-110.66,-3.23,-0.07,-0.86,0.86,n,1715782494189.0
319,-7.14,-129.52,-2.50,-0.13,-0.84,0.84,n,1715782494190.0
331,-11.84,-157.59,-3.42,-0.08,-0.81,0.79,n,1715782494190.0
343,-19.04,-185.91,-0.98,-0.02,-0.85,0.74,n,1715782494190.0
355,-28.75,-204.77,16.24,0.02,-0.95,0.76,n,1715782494241.0
367,-36.01,-224.18,34.36,-0.07,-0.97,0.78,n,1715782494241.0
379,-42.72,-256.16,50.35,-0.06,-1.05,0.77,n,1715782494241.0
391,-21.61,-283.02,50.29,-0.11,-1.06,0.76,n,1715782494242.0
403,-7.26,-307.31,36.32,-0.11,-1.03,0.68,n,1715782494242.0
415,19.47,-325.01,10.25,-0.15,-0.95,0.64,n,1715782494242.0
427,38.09,-352.66,-14.65,0.06,-0.72,0.50,n,1715782494242.0
439,41.20,-367.68,-31.13,0.27,-0.55,0.40,n,1715782494439.0
451,34.36,-381.65,-29.91,0.32,-0.56,0.28,n,1715782494439.0
