group,GX,GY,GZ,AX,AY,AZ
screwdriver,15.56,-21.91,13.67,0.26,-0.91,0.67
handdriver,12.51,-133.42,14.16,-0.91,-0.07,0.72
handdriver,-16.48,93.38,-0.37,-0.83,-0.14,0.62
screwdriver,-133.0,300.6,-1.59,2.0,-0.97,0.06
screwdriver,30.27,-37.11,-1.16,0.37,-0.74,0.62
handdriver,-35.28,294.86,20.69,-0.96,-0.28,0.71
screwdriver,49.13,-150.7,26.31,0.26,-0.72,0.16
screwdriver,136.35,-284.06,-30.09,0.88,-0.69,0.11
handdriver,-26.67,254.27,30.21,-0.08,-0.03,0.83
handdriver,-23.25,58.11,-3.85,-0.51,-0.14,0.81
handdriver,1.77,-56.34,-1.59,-0.79,-0.06,0.62
handdriver,-3.6,-18.43,2.32,-0.69,-0.14,0.82
handdriver,30.15,-420.35,-9.46,-1.12,-0.01,0.3
handdriver,13.98,-62.32,1.4,-0.91,-0.14,0.7
screwdriver,13.12,-66.59,47.0,0.29,-0.41,0.82
handdriver,-2.08,11.23,6.23,-1.01,-0.14,0.69
screwdriver,30.15,-205.69,38.39,0.64,-0.48,0.45
screwdriver,30.88,-95.7,18.25,0.34,-0.79,0.03
handdriver,8.12,-175.72,-1.04,-0.69,-0.1,0.64
handdriver,-10.25,214.29,14.16,-0.61,-0.13,0.77
screwdriver,48.89,-78.19,-22.52,0.97,-0.65,0.27
handdriver,-1.28,-14.71,5.86,-0.31,-0.17,1.02
screwdriver,22.71,-122.25,41.14,0.63,-0.43,0.55
handdriver,-19.71,87.83,7.26,-0.8,-0.34,0.71
screwdriver,-13.31,-55.85,10.44,0.63,-0.46,0.46
screwdriver,3.6,481.93,8.3,-0.25,-0.87,0.29
screwdriver,16.91,53.1,-37.29,0.64,-0.82,0.57
handdriver,-6.1,-77.82,-3.72,-0.46,-0.02,0.7
handdriver,-33.2,264.4,17.64,-0.24,-0.11,0.79
screwdriver,-15.93,65.61,26.25,0.65,-0.47,0.6
handdriver,42.85,-176.51,-2.56,-1.14,0.06,0.52
handdriver,-20.75,13.24,6.77,-0.23,-0.16,0.86
screwdriver,6.96,-31.13,33.33,0.09,-0.82,0.15
handdriver,18.43,-387.51,0.12,-0.61,-0.08,0.52
screwdriver,-48.65,1.59,-37.41,0.35,-0.89,0.95
handdriver,32.96,-204.28,8.79,-0.59,-0.1,0.72
screwdriver,-24.66,-12.57,8.97,0.55,-0.47,0.57
handdriver,11.54,-24.41,25.15,-0.49,-0.38,0.88
handdriver,3.36,11.35,12.27,-1.14,-0.17,0.51
screwdriver,-5.62,-4.7,-73.36,0.17,-0.53,0.81
handdriver,-21.61,154.17,8.67,-0.6,-0.07,0.84
handdriver,-1.16,35.03,2.32,-0.82,-0.04,0.64
screwdriver,0.31,9.52,42.54,0.44,-0.81,0.38
handdriver,0.61,-19.78,9.58,-1.34,-0.16,0.27
screwdriver,17.82,43.58,27.59,-0.38,-0.85,0.34
handdriver,-10.25,72.75,-2.62,-0.46,-0.26,0.94
handdriver,-16.05,260.62,4.15,-0.22,-0.12,0.88
handdriver,-14.04,18.31,5.19,-0.58,-0.06,0.75
handdriver,-13.61,-22.64,-2.56,-0.7,-0.17,0.77
handdriver,37.54,-232.79,6.96,-0.76,0.01,0.74
handdriver,-49.01,211.24,-0.92,-1.03,-0.13,0.69
handdriver,17.76,-222.72,1.46,-1.08,-0.12,0.64
handdriver,2.32,-81.18,9.89,-0.59,-0.1,0.8
handdriver,6.47,-121.4,10.68,-0.18,0.03,0.82
screwdriver,-41.56,432.68,0.55,0.51,-0.7,0.88
screwdriver,17.82,-56.15,29.79,0.46,-0.72,0.12
handdriver,-3.05,-73.43,3.3,-0.23,-0.23,0.95
screwdriver,-53.83,361.57,-17.64,0.41,-0.93,0.24
screwdriver,-30.27,-268.49,80.08,-0.07,-1.1,0.76
handdriver,19.17,-36.68,14.59,-0.85,-0.19,0.74
screwdriver,16.05,121.89,-19.59,-0.5,-0.74,0.68
screwdriver,-4.03,-173.03,24.29,0.06,-0.42,0.77
screwdriver,-5.25,-149.35,5.74,0.13,-0.86,0.29
screwdriver,-18.37,-24.17,-48.16,0.84,-0.57,0.55
screwdriver,66.53,-200.74,-29.48,0.52,-0.8,0.09
handdriver,9.22,-4.15,7.26,-0.93,-0.08,0.92
screwdriver,-38.21,359.8,-15.2,1.02,-0.69,0.64
screwdriver,101.81,-279.97,26.43,0.58,-0.74,0.09
handdriver,-11.41,24.66,3.48,-0.28,-0.21,1.03
screwdriver,-21.18,87.83,-30.46,0.53,-0.62,0.1
handdriver,-35.89,227.54,3.66,-0.3,-0.02,0.77
handdriver,7.69,44.68,5.68,-1.33,-0.23,0.38
handdriver,7.14,-4.15,15.69,-0.78,-0.13,0.76
screwdriver,-7.39,28.02,8.06,0.61,-0.66,0.36
handdriver,-8.3,-84.47,-9.22,-0.99,-0.09,0.68
screwdriver,18.37,-71.72,17.4,0.1,-0.91,0.45
screwdriver,31.31,-73.97,61.16,0.55,-0.48,0.94
handdriver,-13.43,49.93,1.34,-0.87,-0.24,0.64
screwdriver,40.34,-148.32,7.2,0.45,-0.57,0.42
handdriver,16.05,-333.44,-3.17,-0.88,-0.01,0.4
screwdriver,-17.4,-58.04,9.28,0.43,-0.45,0.43
handdriver,8.24,-64.27,7.14,-0.71,-0.06,0.78
screwdriver,-0.12,-59.33,35.77,0.49,-0.91,0.42
handdriver,-32.53,382.26,23.56,-0.83,-0.14,0.35
handdriver,17.88,-62.32,12.15,-0.88,-0.08,0.77
screwdriver,152.59,-234.68,14.59,1.05,-0.44,0.91
handdriver,-13.55,9.09,4.88,-0.47,-0.16,0.9
handdriver,0.18,-52.49,8.97,-0.64,-0.15,0.86
handdriver,-18.55,123.96,25.51,-0.41,-0.08,0.86
handdriver,-8.67,25.94,4.15,-0.41,-0.1,0.89
handdriver,-20.81,264.04,6.59,-1.26,-0.07,0.31
handdriver,25.09,-93.57,23.86,-1.02,-0.09,0.55
handdriver,13.12,-63.29,18.74,-0.79,-0.1,0.79
handdriver,-20.69,366.82,15.93,-0.72,-0.2,0.28
screwdriver,-55.24,409.79,-20.69,0.3,-0.78,-0.13
handdriver,-28.02,116.33,2.81,-1.11,-0.18,0.55
handdriver,-36.8,87.34,-7.69,-0.48,-0.15,0.86
screwdriver,-30.09,-52.8,49.26,0.53,-0.85,0.33
screwdriver,6.77,-45.47,10.74,0.4,-0.76,0.44
screwdriver,-5.0,113.71,12.21,0.6,-0.64,0.48
screwdriver,-79.28,266.72,9.52,0.01,-0.98,-0.07
handdriver,3.3,-1.22,3.05,-0.99,-0.18,0.46
screwdriver,-19.47,49.32,16.42,0.32,-0.64,0.4
handdriver,-8.97,82.4,1.59,-1.15,-0.2,0.26
handdriver,43.76,148.19,25.76,-1.48,-0.23,0.23
screwdriver,55.91,-219.79,15.87,0.52,-0.89,0.17
handdriver,-16.6,32.23,2.5,-1.04,-0.28,0.52
handdriver,-1.04,-34.61,9.95,-0.56,-0.19,0.98
screwdriver,78.92,-264.16,-15.32,0.54,-1.03,0.25
screwdriver,78.8,-134.34,62.62,0.21,-0.73,0.45
handdriver,-11.54,48.52,13.98,-1.03,-0.15,0.5
screwdriver,4.7,-81.54,0.37,0.57,-0.93,0.1
handdriver,-33.51,281.01,2.14,-0.91,-0.21,0.39
handdriver,-22.64,119.87,19.84,-0.24,-0.13,0.87
handdriver,-10.8,30.15,-1.1,-0.25,-0.16,0.82
screwdriver,9.7,-11.35,-19.1,-0.82,-0.73,0.57
screwdriver,-20.57,81.54,22.03,0.73,-0.67,0.43
screwdriver,-4.27,20.39,15.5,0.52,-0.6,0.55
handdriver,-15.87,19.1,-1.95,-0.58,-0.13,0.78
screwdriver,5.25,-207.52,34.91,-0.04,-0.82,0.93
screwdriver,85.14,-173.1,8.24,0.46,-0.71,0.5
handdriver,34.79,-181.7,11.84,-0.44,-0.12,0.91
screwdriver,69.27,-177.0,9.83,0.18,-0.95,0.4
handdriver,-27.22,89.36,-0.49,-0.9,-0.19,0.53
screwdriver,14.34,-282.1,10.38,0.33,-1.01,0.19
screwdriver,45.84,-183.11,30.4,-0.21,-0.61,0.28
handdriver,3.48,569.76,6.9,-0.47,-0.13,0.53
handdriver,15.44,-35.95,14.95,-0.73,-0.12,0.8
screwdriver,24.11,-89.6,27.1,0.74,-0.74,0.25
screwdriver,-47.67,35.22,11.54,0.94,-0.61,0.29
screwdriver,-35.34,187.93,-112.55,1.44,-0.97,1.77
screwdriver,-28.93,120.54,35.89,0.43,-0.84,0.41
handdriver,14.04,-103.15,2.81,-0.27,-0.01,0.78
handdriver,9.89,-39.73,4.15,-0.58,-0.03,0.75
screwdriver,-54.02,781.8,11.35,1.22,-0.55,0.59
handdriver,18.19,-37.78,26.37,-0.99,-0.05,0.71
handdriver,-27.77,139.89,17.94,-0.74,-0.16,0.72
handdriver,-47.79,147.34,-12.94,-0.78,-0.15,0.6
handdriver,-13.43,9.09,13.43,-0.42,0.04,0.8
screwdriver,-12.94,112.12,-17.4,0.6,-0.79,0.22
screwdriver,64.45,-156.8,26.86,0.65,-0.7,0.31
handdriver,0.73,-6.47,14.95,-0.54,-0.17,0.91
handdriver,-8.36,-22.09,7.08,-0.75,-0.16,0.74
handdriver,3.48,-24.84,5.31,-0.11,-0.26,1.08
screwdriver,6.9,105.96,27.59,-0.48,-0.54,0.6
handdriver,-2.62,-29.85,-10.68,-0.63,-0.09,0.72
screwdriver,-15.44,-93.2,16.17,0.4,-0.74,0.43
screwdriver,111.88,-212.89,8.3,0.96,-0.74,0.01
handdriver,-19.17,52.06,-19.04,-0.45,-0.15,0.66
handdriver,-17.33,478.21,22.46,-0.3,-0.23,0.38
handdriver,-9.83,7.39,-3.17,-0.15,-0.06,0.81
handdriver,-16.66,19.53,-5.68,-0.52,-0.04,0.69
screwdriver,-12.82,-16.66,27.71,-0.12,-0.74,0.19
handdriver,-30.21,126.71,-2.81,-0.35,-0.23,0.91
handdriver,16.36,-123.66,12.7,-0.51,-0.06,0.9
screwdriver,-33.63,138.61,-34.61,0.65,-0.85,0.9
screwdriver,-92.47,316.35,-55.42,0.11,-0.8,0.61
handdriver,17.94,-122.31,8.61,-1.08,-0.21,0.45
screwdriver,17.7,-256.29,3.36,-0.0,-0.95,0.72
screwdriver,-33.94,203.37,28.08,-0.2,-0.97,0.12
handdriver,6.59,-60.3,4.15,-0.38,-0.16,0.96
handdriver,1.65,-119.63,12.51,-0.73,-0.14,0.76
handdriver,-3.23,-41.99,14.16,-0.52,-0.28,1.01
handdriver,-16.78,57.86,-0.92,-0.72,-0.09,0.81
handdriver,-11.29,-21.55,17.33,-0.79,-0.07,0.55
handdriver,-20.94,19.35,-6.96,-0.37,-0.15,0.95
handdriver,13.98,-50.29,2.08,-0.64,-0.16,0.65
handdriver,-13.92,-10.86,17.46,-0.72,-0.07,0.68
handdriver,3.78,-21.79,17.33,-0.62,-0.08,0.79
handdriver,-23.99,92.77,3.05,-1.01,-0.19,0.61
handdriver,-13.24,53.22,5.37,-0.5,-0.07,0.82
screwdriver,-8.54,15.87,21.36,0.82,-0.32,0.58
screwdriver,6.96,-150.15,2.81,-0.26,-0.86,0.59
screwdriver,12.39,-88.01,10.44,0.5,-0.66,0.44
handdriver,-0.24,-49.32,-0.37,-0.27,-0.18,0.9
screwdriver,2.56,70.37,45.04,0.16,-0.76,0.57
screwdriver,34.73,-210.14,39.12,0.37,-0.87,0.18
handdriver,17.94,-105.47,3.6,-0.99,0.01,0.67
handdriver,-16.3,88.68,-4.21,-0.38,-0.19,0.82
handdriver,-0.98,31.8,3.17,-0.85,-0.2,0.78
handdriver,-16.91,-40.04,-5.86,-0.38,0.01,0.82
screwdriver,-23.44,-194.4,30.76,-0.15,-1.0,0.52
screwdriver,5.37,-82.21,14.53,0.34,-0.41,0.74
screwdriver,-20.45,126.53,-61.58,0.88,-0.79,1.18
handdriver,8.18,28.32,1.71,-1.24,-0.16,0.43
handdriver,1.59,-2.01,4.15,-0.37,-0.18,0.94
handdriver,-21.24,157.47,8.61,-0.27,-0.06,0.89
screwdriver,-50.96,404.3,5.43,0.68,-0.65,0.54
handdriver,-8.48,5.25,10.44,-0.6,-0.01,0.87
handdriver,12.45,-81.18,4.15,-0.86,-0.0,0.54
handdriver,15.93,-428.71,-1.65,-0.72,-0.09,0.32
screwdriver,-23.01,-56.58,20.57,-0.23,-0.68,0.88
handdriver,5.92,-149.05,22.34,-0.25,-0.19,0.94
screwdriver,21.67,40.16,13.98,0.2,-0.57,0.31
screwdriver,-6.04,-21.42,15.69,0.48,-0.48,0.58
screwdriver,-27.04,105.83,23.68,0.82,-0.37,0.47
screwdriver,6.9,18.92,26.18,0.54,-0.57,0.36
screwdriver,-47.06,263.61,-25.76,0.31,-0.21,0.73
handdriver,24.11,-54.63,10.5,-0.37,0.01,1.01
handdriver,-1.89,69.82,3.17,-0.73,-0.18,0.87
screwdriver,16.42,-60.36,-11.66,0.52,-0.83,0.75
screwdriver,81.24,-140.93,-0.67,0.81,-0.48,0.31
handdriver,32.9,-169.56,26.18,-1.38,-0.04,0.17
handdriver,-21.97,76.42,8.85,-1.22,-0.22,0.53
screwdriver,-40.95,46.45,25.33,0.18,-0.72,0.9
screwdriver,-11.78,377.69,-23.68,-0.09,-0.51,0.65
screwdriver,78.0,-205.02,-10.68,0.97,-0.65,0.38
screwdriver,27.1,-35.46,20.57,0.21,-1.01,0.43
screwdriver,-1.71,73.67,4.58,-0.06,-0.85,0.99
handdriver,-6.04,9.7,-0.85,-0.52,-0.07,0.81
handdriver,-15.08,149.29,11.17,-0.46,-0.01,0.8
screwdriver,-35.03,714.66,37.35,0.72,-0.93,0.49
handdriver,11.23,-140.62,31.68,-0.66,-0.05,0.8
handdriver,-45.59,636.41,12.08,-0.73,-0.24,0.47
screwdriver,0.55,5.37,6.9,0.43,-0.78,0.55
screwdriver,-14.4,-233.22,26.92,-0.18,-0.86,0.69
screwdriver,17.58,-64.64,19.78,0.44,-0.33,0.73
handdriver,-12.15,37.05,-8.73,-0.54,-0.1,0.78
handdriver,11.6,-193.85,-6.23,-0.71,-0.16,0.85
screwdriver,26.98,-121.77,11.47,0.41,-0.64,0.6
screwdriver,17.82,-179.2,40.71,0.24,-0.69,0.92
handdriver,-20.81,145.32,-1.4,-0.6,-0.08,0.79
handdriver,38.33,-681.21,-19.23,-0.18,-0.13,0.34
handdriver,26.86,-208.68,-5.31,-1.43,-0.02,-0.02
handdriver,2.08,-70.56,-3.05,-0.29,-0.15,0.98
handdriver,-8.12,0.49,-1.28,-0.58,-0.08,0.84
handdriver,0.37,-61.04,-5.25,-0.29,-0.02,0.71
screwdriver,51.82,-179.32,4.39,0.71,-0.74,0.15
handdriver,23.25,-105.53,11.96,-1.08,0.01,0.47
screwdriver,-62.74,189.21,-73.91,0.2,-1.01,1.06
screwdriver,27.1,-52.98,-24.96,0.79,-0.7,0.27
handdriver,13.85,-135.25,9.09,-0.14,0.08,0.89
handdriver,-31.8,91.49,-3.97,-0.52,-0.06,0.84
screwdriver,27.16,-250.18,24.48,0.34,-0.58,0.84
screwdriver,29.66,-376.46,-7.63,0.5,-0.6,0.41
handdriver,6.29,-40.71,-0.79,-0.55,-0.22,0.83
handdriver,9.64,-117.49,-0.85,-0.59,-0.08,0.82
handdriver,-22.71,104.37,-3.48,-1.02,-0.24,0.61
screwdriver,-25.27,49.56,-4.39,-0.22,-0.75,0.64
screwdriver,-39.31,332.95,-22.95,0.09,-0.6,1.01
screwdriver,-69.34,46.94,-49.44,0.33,-0.62,0.28
screwdriver,-19.41,-301.57,33.2,-0.29,-0.88,0.37
handdriver,0.0,-38.88,3.85,-0.74,-0.01,0.74
handdriver,-27.1,370.0,12.51,0.05,-0.12,0.81
screwdriver,-129.39,391.6,-50.48,0.96,-0.66,0.41
screwdriver,-3.11,12.76,-8.24,0.79,-0.62,0.29
screwdriver,-29.24,105.77,-20.69,0.06,-0.6,0.1
handdriver,9.16,-14.04,5.49,-0.64,-0.14,0.79
handdriver,-15.26,-82.76,30.33,-0.9,-0.08,0.62
handdriver,-17.82,74.16,-1.22,-0.47,-0.33,1.1
handdriver,16.17,-58.11,0.98,-0.35,-0.23,1.02
screwdriver,-23.07,240.72,28.93,0.53,-0.65,0.51
screwdriver,-38.02,459.53,7.69,0.33,-0.48,0.91
screwdriver,51.94,-150.02,-33.14,0.45,-0.88,-0.16
handdriver,31.98,-133.85,5.74,-0.9,-0.1,0.79
screwdriver,-52.67,140.2,-30.46,0.51,-0.76,0.68
handdriver,-25.02,178.04,4.15,-0.68,-0.19,0.73
handdriver,-30.21,250.43,4.94,-0.54,-0.15,0.77
handdriver,-12.15,158.2,7.26,-0.39,-0.11,0.67
handdriver,15.14,-26.06,10.62,-0.48,-0.2,0.99
screwdriver,23.07,-202.82,44.68,0.24,-0.65,1.04
screwdriver,-46.57,55.73,-24.72,-0.02,-0.7,0.57
screwdriver,-37.9,-1.34,-8.79,0.26,-0.85,0.7
screwdriver,-12.15,-112.55,48.34,0.21,-0.75,0.35
screwdriver,59.81,-415.95,23.19,0.74,-0.46,0.18
handdriver,10.93,-18.07,19.29,-0.54,-0.09,0.97
handdriver,15.81,-199.58,11.05,-0.46,-0.24,1.14
screwdriver,101.2,-215.52,27.83,0.71,-0.56,0.19
handdriver,-14.59,124.63,2.62,-0.51,-0.09,0.73
screwdriver,-25.63,24.72,39.25,0.49,-0.75,0.53
handdriver,-2.14,86.36,5.43,-0.14,-0.11,1.12
screwdriver,-48.16,358.83,30.64,-0.19,-1.02,-0.06
screwdriver,-60.3,93.81,-9.58,0.77,-0.85,0.66
screwdriver,-14.1,-27.65,13.92,0.44,-0.43,0.55
screwdriver,-4.58,-29.66,-10.5,0.76,-0.94,0.66
handdriver,6.9,-19.29,2.69,-0.57,-0.15,0.95
screwdriver,31.13,-43.76,27.34,0.5,-0.53,0.91
handdriver,-6.59,1.46,-0.43,-0.33,-0.18,0.91
screwdriver,21.73,-52.98,-7.93,0.37,-0.7,0.64
handdriver,34.67,-172.91,15.44,-0.89,-0.18,0.72
handdriver,24.72,-188.23,9.4,-0.62,-0.06,0.74
screwdriver,-17.64,109.68,-9.52,0.77,-0.76,0.34
handdriver,36.07,-371.09,-15.26,-1.15,-0.0,0.17
screwdriver,-103.39,130.31,-36.44,0.8,-0.79,0.56
